"id","customer_bsid","file_id","app_bsid","element_key","revision","name","status","type","start_position","end_position","coverage","code_labels","ignore","constructor","getter_setter","anonymous","generated","deprecated","ref_status"
"1_0","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_0","7208babf-80af-460a-9df8-fe5866901313","a0c3c202-8a36-4b7e-b910-63c78f566b4a","0","public String getFileHeader()","unchanged","method","{17,null}","{17,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_1","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_1","7208babf-80af-460a-9df8-fe5866901313","29e72cb4-f9ad-433c-82ac-a1d1ac6bbee2","3","boolean timerExists()","unchanged","method","{202,null}","{202,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_2","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_1","7208babf-80af-460a-9df8-fe5866901313","bc8ed3bb-3cd6-4694-aa89-f06d18a82804","1","TaskScheduler getTimer()","unchanged","method","{206,null}","{209,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_3","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_2","7208babf-80af-460a-9df8-fe5866901313","974fa2e5-7811-49d7-9a97-f1e8de0aad38","0","protected String initialValue()","unchanged","method","{13,null}","{14,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_4","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_3","7208babf-80af-460a-9df8-fe5866901313","2031747c-ecd4-481e-bab6-7ceadcc5dce2","1","public void setSendIntervalMins(int)","unchanged","method","{217,null}","{219,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_5","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_3","7208babf-80af-460a-9df8-fe5866901313","ad4d85dd-2a37-4479-8c0e-19ba99cf798d","1","public boolean isSendLogsOnTimer()","unchanged","method","{154,null}","{154,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_6","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_3","7208babf-80af-460a-9df8-fe5866901313","d7c79406-d883-4147-8507-b61b516f26ee","1","public Boolean isSendLogsOnShutdown()","unchanged","method","{146,null}","{150,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_7","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_3","7208babf-80af-460a-9df8-fe5866901313","b058397f-d9e5-4e05-b06b-4cfe858e4378","1","public void autoConfigure()","unchanged","method","{116,null}","{125,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_8","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_3","7208babf-80af-460a-9df8-fe5866901313","355834b2-ae29-4910-8b69-2f29bb0a6282","1","public int getSendMaxSizeMB()","unchanged","method","{242,null}","{245,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_9","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_3","7208babf-80af-460a-9df8-fe5866901313","1d5eeed2-6096-44d2-b656-9cd4705b68e4","1","public int getFileCount()","unchanged","method","{173,null}","{177,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_10","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_3","7208babf-80af-460a-9df8-fe5866901313","f0743894-c698-475b-b17d-5ba5266249c9","1","public Level getLogLevel()","unchanged","method","{190,null}","{196,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_11","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_3","7208babf-80af-460a-9df8-fe5866901313","dc5100f6-c45c-4f29-9c5c-904784054da4","1","private Level levelPropertyValue()","unchanged","method","{201,null}","{213,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_12","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_3","7208babf-80af-460a-9df8-fe5866901313","0e54ecad-c910-4b94-885f-0f1c92ef1029","1","public int getSendIntervalSecs()","unchanged","method","{229,null}","{237,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_13","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_3","7208babf-80af-460a-9df8-fe5866901313","9ce99458-ff19-4280-adbc-1c7dd54bef1a","1","public int getSendIntervalMins()","unchanged","method","{222,null}","{225,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
"1_14","SeaLights_7208babf-80af-460a-9df8-fe5866901313","1_3","7208babf-80af-460a-9df8-fe5866901313","8a4feb0b-6738-4876-922e-295593c1a422","1","public String toString()","unchanged","method","{250,null}","{250,null}",null,"[{'category':'Team','label':'Agents','isHighPriority':false,'id':'5c8a85464e3c3f31ef8ea3db$5d075875c1fa936df91d98ca'}]","{'testStages':[],'isIgnored':false}","false","false","false","false","false","unchanged"
