,name,method
0,public String get File Header  ,public String getFileHeader()
1,boolean timer Exists  ,boolean timerExists()
2,Task Scheduler get Timer  ,TaskScheduler getTimer()
3,protected String initial Value  ,protected String initialValue()
4,public void set Send Interval Mins int ,public void setSendIntervalMins(int)
5,public boolean is Send Logs On Timer  ,public boolean isSendLogsOnTimer()
6,public Boolean is Send Logs On Shutdown  ,public Boolean isSendLogsOnShutdown()
7,public void auto Configure  ,public void autoConfigure()
8,public int get Send Max Size MB  ,public int getSendMaxSizeMB()
9,public int get File Count  ,public int getFileCount()
10,public Level get Log Level  ,public Level getLogLevel()
11,private Level level Property Value  ,private Level levelPropertyValue()
12,public int get Send Interval Secs  ,public int getSendIntervalSecs()
13,public int get Send Interval Mins  ,public int getSendIntervalMins()
14,public String to String  ,public String toString()
15,private void force Level Not Off  ,private void forceLevelNotOff()
16,public boolean is Append To File  ,public boolean isAppendToFile()
17,public void set Append To File boolean ,public void setAppendToFile(boolean)
18,public void auto Configure Send Logs By Timer  ,public void autoConfigureSendLogsByTimer()
19,public String get Log File Name  ,public String getLogFileName()
20,public String get Logs Folder  ,public String getLogsFolder()
21,public void auto Configure Send Logs On Shutdown  ,public void autoConfigureSendLogsOnShutdown()
22,public void set Append To Console boolean ,public void setAppendToConsole(boolean)
23,public int get Log Limit In MB  ,public int getLogLimitInMB()
24,public void start  ,public void start()
25,public void set Encoder Encoder ,public void setEncoder(Encoder)
26,protected void append I Logging Event ,protected void append(ILoggingEvent)
27,public void configure And Start String  Encoder  Logger Context ,"public void configureAndStart(String, Encoder, LoggerContext)"
28,protected void send Logs  ,protected void sendLogs()
29,public void run  ,public void run()
30,public void stop  ,public void stop()
31,protected void append Log I Logging Event ,protected void appendLog(ILoggingEvent)
32,private boolean is Send Logs Relevant  ,private boolean isSendLogsRelevant()
33,protected void start Flush Timer  ,protected void startFlushTimer()
34,public boolean is Log Empty  ,public boolean isLogEmpty()
35,public String get Name  ,public String getName()
36,public void init Log Service Proxy S LAgent Configuration  String  String  String ,"public void initLogServiceProxy(SLAgentConfiguration, String, String, String)"
37,public String to String Content  ,public String toStringContent()
38,public String to String  ,public String toString()
39,public String get Created At  ,public String getCreatedAt()
40,public void http Logs Debug On String ,public void httpLogsDebugOn(String)
41,public void set Thread Context  ,public void setThreadContext()
42,public Logger get Framework Logger String ,public Logger getFrameworkLogger(String)
43,public static void stop  ,public static void stop()
44,public void http Logs Debug Off String ,public void httpLogsDebugOff(String)
45,public static void start  ,public static void start()
46,public Logger get Framework Logger Class ,public Logger getFrameworkLogger(Class)
47,public Level get Configured Log Level  ,public Level getConfiguredLogLevel()
48,public static void activate SL Logback Configuration  ,public static void activateSLLogbackConfiguration()
49,protected static void restore App Logback Configuration  ,protected static void restoreAppLogbackConfiguration()
50,public String convert  ,public String convert()
51,public void run  ,public void run()
52,public String get Tag  ,public String getTag()
53,public boolean send Logs String  String  Log Data ,"public boolean sendLogs(String, String, LogData)"
54,public boolean send Logs String  String  String  Log Data ,"public boolean sendLogs(String, String, String, LogData)"
55,protected boolean submitt Logs Submit Logs Request ,protected boolean submittLogs(SubmitLogsRequest)
56,protected void configure And Start Console Appender Logger Context ,protected void configureAndStartConsoleAppender(LoggerContext)
57,public void configure Logger Context ,public void configure(LoggerContext)
58,protected Encoder get Encoder Logger Context  boolean ,"protected Encoder getEncoder(LoggerContext, boolean)"
59,public void configure Logger Logger Context  Logger  boolean ,"public void configureLogger(LoggerContext, Logger, boolean)"
60,private S LAppender get SL Appender  ,private SLAppender getSLAppender()
61,private Console Appender get Console Appender  ,private ConsoleAppender getConsoleAppender()
62,private Rolling File Appender get Rolling File Appender  ,private RollingFileAppender getRollingFileAppender()
63,protected void add Console Appender Logger Context  Logger  Logback Log Configuration ,"protected void addConsoleAppender(LoggerContext, Logger, LogbackLogConfiguration)"
64,protected void configure And Start File Appender Logger Context  Logback Log Configuration ,"protected void configureAndStartFileAppender(LoggerContext, LogbackLogConfiguration)"
65,protected void add File Appender Logger Context  Logger  Logback Log Configuration ,"protected void addFileAppender(LoggerContext, Logger, LogbackLogConfiguration)"
66,protected void add SL Appender Logger Context  Logger  Logback Log Configuration ,"protected void addSLAppender(LoggerContext, Logger, LogbackLogConfiguration)"
67,public String convert Attrs  ,public String convertAttrs()
68,public String get Machine Name  ,public String getMachineName()
69,public void set Logger Level Logger  Level ,"public void setLoggerLevel(Logger, Level)"
70,public void configure Thread Context  ,public void configureThreadContext()
71,public void set Level Level ,public void setLevel(Level)
72,public void set Log Level Class  Level ,"public void setLogLevel(Class, Level)"
73,public void configure Logger Logger Context  Logger ,"public void configureLogger(LoggerContext, Logger)"
74,public void set Thread Context  ,public void setThreadContext()
75,public void set Log Level String  Level ,"public void setLogLevel(String, Level)"
76,public Level get Root Level  ,public Level getRootLevel()
77,public void set Logs Off  ,public void setLogsOff()
78,public static S LAppender get SL Appender  ,public static SLAppender getSLAppender()
79,public static Rolling File Appender get Rolling File Appender  ,public static RollingFileAppender getRollingFileAppender()
80,public static void try Configure For Send Logs On Shutdown  ,public static void tryConfigureForSendLogsOnShutdown()
81,private Thread create Shutdown Hook  ,private Thread createShutdownHook()
82,public static Console Appender get Console Appender  ,public static ConsoleAppender getConsoleAppender()
83,public static void auto Configure  ,public static void autoConfigure()
84,public static void auto Configure Send Logs By Timer  ,public static void autoConfigureSendLogsByTimer()
85,public static void init SL Appender S LAgent Configuration  String  String  String ,"public static void initSLAppender(SLAgentConfiguration, String, String, String)"
86,public static void init SL Appender S LAgent Configuration  String  String ,"public static void initSLAppender(SLAgentConfiguration, String, String)"
87,public void set Console Appender For Tests Only Console Appender ,public void setConsoleAppenderForTestsOnly(ConsoleAppender)
88,public static boolean is Log Enable Level ,public static boolean isLogEnable(Level)
89,public static Logback Log Configuration get Log Configuration  ,public static LogbackLogConfiguration getLogConfiguration()
90,public static void set Log Configuration Logback Log Configuration ,public static void setLogConfiguration(LogbackLogConfiguration)
91,public static Level map To Logback Level Level ,public static Level mapToLogbackLevel(Level)
92,public static void clear SL Logback Configuration  ,public static void clearSLLogbackConfiguration()
93,public static void activate SL Logback Configuration  ,public static void activateSLLogbackConfiguration()
94,public String to String  ,public String toString()
95,public static File load Embedded Jar File String  String ,"public static File loadEmbeddedJarFile(String, String)"
96,public static Jar File load Embedded Jar String  String ,"public static JarFile loadEmbeddedJar(String, String)"
97,private static Input Stream get Embedded Jar Input Stream String ,private static InputStream getEmbeddedJarInputStream(String)
98,public void execute Object  Object ,"public void execute(Object, Object)"
99,private static byte[] read Byte Code Input Stream ,private static byte[] readByteCode(InputStream)
100,public static Class Reader create Class Reader Class Loader  String ,"public static ClassReader createClassReader(ClassLoader, String)"
101,private static void try Close Input Stream ,private static void tryClose(InputStream)
102,public static byte[] get Class Bytecode String ,public static byte[] getClassBytecode(String)
103,public static Class define Class byte[] ,public static Class defineClass(byte[])
104,public String execute Web App String ,public String executeWebApp(String)
105,public String execute  ,public String execute()
106,protected String look In Sys Prop  ,protected String lookInSysProp()
107,protected String look In Folder String ,protected String lookInFolder(String)
108,private String normalized Requested File Name  ,private String normalizedRequestedFileName()
